Comment,Designator,Footprint,LCSC
1k,"R_Crystal1,R_Flash1,R_RESET1",R_0402_1005Metric,C11702
PRTR5V0U2X,U2,SOT143B,C12333
Conn_01x04,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
.1u,"C_Decoup10,C_Decoup11,C_Decoup12,C_Decoup2,C_Decoup3,C_Decoup6,C_Decoup7,C_Decoup8,C_Decoup9,C_Flash1",C_0402_1005Metric,C1525
10u,C_Decoup4,C_0402_1005Metric,C15525
22pF,"C_Crystal1,C_Crystal2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
27,"R_DATA1,R_DATA2",R_0402_1005Metric,C25100
WS2812B,"RGB0,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
1u,"C_Decoup1,C_Decoup5,C_LDO1,C_LDO2",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
D,"D0,D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D43,D44,D45,D48,D49,D5,D50,D51,D53,D6,D7,D8,D9",D_SOD-123,C64898
74AHC1G125,U5,SOT-23-5,C7468
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
